8191, 661, 630, 598, 567, 530, 494, 463, 440, 410, 391, 367, 357, 348, 341, 331, 325, 319, 312, 309, 304, 302, 297, 289, 287, 281, 279, 276, 275, 273, 274, 272, 273, 272, 273, 273, 273, 273, 273, 273, 
8191, 666, 632, 596, 562, 530, 505, 466, 439, 416, 390, 368, 357, 352, 338, 336, 324, 321, 313, 310, 303, 302, 297, 290, 287, 281, 280, 276, 276, 274, 274, 273, 273, 274, 273, 275, 273, 275, 273, 275, 
8191, 647, 618, 585, 564, 513, 490, 452, 424, 399, 379, 354, 336, 337, 321, 318, 305, 303, 293, 292, 284, 284, 277, 271, 267, 262, 260, 256, 256, 254, 254, 252, 254, 252, 254, 252, 253, 253, 253, 253, 
8191, 661, 634, 598, 563, 529, 504, 471, 451, 423, 398, 379, 361, 358, 343, 342, 329, 330, 318, 319, 311, 311, 305, 298, 294, 291, 287, 285, 284, 281, 282, 281, 280, 281, 280, 281, 280, 281, 280, 281, 
8191, 658, 628, 594, 559, 524, 497, 463, 443, 408, 388, 363, 346, 344, 328, 329, 314, 314, 303, 304, 296, 296, 289, 284, 278, 275, 272, 270, 269, 267, 267, 266, 266, 266, 266, 266, 267, 266, 267, 267, 
8191, 648, 623, 584, 559, 523, 489, 461, 433, 401, 383, 361, 341, 341, 324, 322, 308, 307, 296, 296, 287, 288, 281, 274, 271, 266, 264, 261, 260, 259, 258, 258, 259, 258, 258, 259, 258, 259, 258, 259, 
8191, 672, 637, 602, 573, 537, 507, 481, 451, 425, 401, 378, 365, 356, 346, 340, 329, 326, 317, 315, 308, 308, 301, 295, 291, 287, 284, 282, 280, 279, 278, 278, 278, 278, 278, 278, 278, 278, 279, 278, 
8191, 662, 632, 591, 564, 530, 497, 462, 439, 408, 387, 362, 348, 341, 329, 324, 312, 310, 301, 299, 291, 290, 285, 277, 274, 268, 267, 263, 263, 260, 261, 259, 260, 259, 261, 260, 260, 260, 260, 260, 
8191, 656, 621, 591, 564, 519, 495, 460, 438, 402, 382, 354, 342, 338, 324, 322, 308, 307, 296, 297, 288, 288, 281, 275, 271, 267, 264, 262, 260, 259, 258, 258, 257, 258, 257, 258, 258, 258, 258, 257, 
8191, 672, 638, 610, 574, 540, 510, 475, 455, 425, 411, 382, 370, 362, 352, 347, 335, 333, 324, 324, 316, 316, 310, 303, 299, 295, 292, 289, 289, 287, 287, 286, 287, 285, 287, 286, 287, 286, 288, 286, 
