result : 8191, 404, 389, 351, 323, 287, 258, 222, 197, 169, 150, 123, 108, 100, 93, 86, 81, 76, 73, 69, 68, 65, 64, 56, 53, 47, 45, 43, 42, 41, 41, 41, 40, 42, 41, 41, 41, 42, 41, 41, 
result : 8191, 374, 350, 311, 286, 249, 221, 183, 158, 130, 112, 85, 75, 67, 61, 57, 55, 54, 52, 52, 50, 51, 48, 41, 41, 38, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 40, 41, 41, 40, 
result : 8191, 348, 320, 286, 258, 222, 190, 154, 132, 101, 84, 53, 49, 45, 44, 43, 42, 43, 42, 42, 42, 42, 41, 37, 39, 39, 39, 39, 40, 39, 40, 39, 40, 39, 40, 39, 40, 39, 40, 40, 
result : 8191, 346, 326, 288, 261, 225, 196, 161, 134, 105, 88, 58, 48, 39, 44, 39, 43, 39, 42, 39, 41, 39, 41, 33, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 39, 40, 
result : 8191, 346, 325, 282, 260, 219, 195, 157, 135, 103, 86, 55, 45, 38, 41, 39, 41, 39, 40, 39, 41, 39, 41, 34, 39, 40, 40, 40, 40, 40, 40, 40, 41, 40, 40, 40, 41, 40, 41, 40, 
result : 8191, 403, 378, 347, 322, 283, 259, 221, 198, 170, 149, 125, 109, 102, 97, 90, 85, 80, 76, 73, 71, 70, 68, 60, 56, 51, 50, 47, 47, 46, 46, 46, 46, 47, 46, 47, 46, 47, 46, 47, 
result : 8191, 388, 364, 324, 298, 263, 235, 199, 174, 148, 127, 101, 89, 82, 75, 68, 64, 60, 58, 57, 55, 55, 53, 46, 44, 39, 40, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 39, 40, 39, 
result : 8191, 368, 342, 333, 279, 244, 216, 181, 154, 124, 106, 79, 69, 60, 54, 53, 50, 51, 48, 49, 46, 48, 45, 39, 39, 38, 39, 39, 39, 39, 39, 40, 40, 39, 41, 40, 41, 40, 41, 40, 
result : 8191, 379, 352, 314, 290, 250, 223, 185, 164, 134, 113, 86, 78, 69, 63, 58, 56, 55, 53, 53, 51, 52, 49, 42, 42, 38, 40, 39, 41, 39, 41, 39, 41, 40, 41, 40, 41, 40, 41, 41, 
result : 8191, 378, 351, 317, 291, 256, 226, 188, 163, 137, 115, 89, 77, 53, 49, 33, 38, 39, 38, 38, 38, 39, 39, 40, 39, 39, 39, 39, 39, 39, 39, 39, 40, 39, 40, 39, 40, 39, 40, 39, 
result : 8191, 376, 349, 314, 289, 248, 224, 186, 162, 133, 113, 87, 76, 70, 62, 58, 55, 55, 52, 53, 50, 52, 48, 42, 41, 38, 39, 39, 39, 39, 39, 39, 39, 39, 40, 39, 40, 39, 39, 40, 
