result : 8191, 377, 355, 326, 296, 257, 229, 193, 172, 141, 124, 99, 87, 80, 73, 66, 62, 61, 58, 58, 55, 57, 53, 47, 45, 42, 42, 42, 43, 43, 43, 43, 43, 43, 44, 43, 43, 43, 44, 43, 
result : 8191, 362, 336, 300, 274, 238, 213, 174, 150, 121, 102, 75, 67, 59, 52, 53, 49, 51, 48, 50, 47, 49, 47, 42, 42, 41, 43, 42, 43, 42, 43, 42, 42, 42, 43, 43, 43, 43, 42, 44, 
result : 8191, 361, 328, 326, 271, 238, 205, 170, 145, 117, 95, 66, 59, 48, 51, 46, 48, 45, 47, 45, 46, 45, 45, 38, 41, 42, 42, 42, 42, 42, 42, 43, 43, 42, 43, 42, 43, 43, 43, 43, 
result : 8191, 358, 335, 294, 268, 230, 200, 164, 141, 111, 94, 66, 58, 29, 41, 41, 42, 44, 45, 46, 45, 44, 45, 44, 45, 44, 44, 44, 44, 44, 45, 44, 45, 45, 45, 45, 45, 44, 46, 45, 
result : 8191, 356, 330, 292, 266, 230, 201, 164, 141, 107, 92, 63, 54, 43, 48, 42, 46, 42, 46, 43, 45, 43, 45, 37, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 43, 
result : 8191, 375, 346, 311, 285, 252, 223, 188, 163, 134, 117, 92, 82, 74, 68, 60, 60, 57, 55, 55, 53, 53, 52, 44, 44, 39, 41, 40, 41, 41, 42, 40, 42, 41, 42, 41, 42, 41, 42, 41, 
result : 8191, 372, 351, 315, 289, 251, 227, 188, 166, 137, 117, 94, 84, 76, 69, 61, 61, 58, 57, 56, 55, 54, 53, 45, 45, 40, 43, 42, 43, 42, 43, 43, 43, 42, 43, 43, 43, 43, 43, 43, 
result : 8191, 376, 344, 312, 288, 251, 222, 185, 161, 133, 113, 87, 77, 69, 66, 60, 59, 57, 55, 55, 53, 54, 51, 44, 44, 41, 43, 42, 43, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 43, 
result : 8191, 362, 339, 328, 277, 239, 208, 174, 149, 121, 101, 74, 65, 56, 51, 51, 48, 50, 47, 49, 47, 48, 46, 41, 41, 41, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 44, 43, 44, 43, 
result : 8191, 336, 316, 279, 248, 214, 188, 149, 123, 94, 77, 47, 42, 42, 41, 42, 42, 43, 42, 43, 42, 43, 42, 41, 42, 43, 43, 43, 43, 42, 43, 43, 43, 43, 43, 43, 44, 43, 43, 43, 
