result : 377, 355, 326, 296, 257, 229, 193, 172, 22, 29, 30, 39, 28, 36, 21, -7, -1, -9, 11, -8, 15, 
result : 362, 336, 300, 274, 238, 213, 174, 150, 26, 36, 26, 36, 25, 39, 24, -10, 10, -10, 11, -14, 15, 
result : 361, 328, 326, 271, 238, 205, 170, 145, 33, 2, 55, 33, 33, 35, 25, 31, -53, 22, 0, -2, 10, 
result : 358, 335, 294, 268, 230, 200, 164, 141, 23, 41, 26, 38, 30, 36, 23, -18, 15, -12, 8, -6, 13, 
result : 356, 330, 292, 266, 230, 201, 164, 141, 26, 38, 26, 36, 29, 37, 23, -12, 12, -10, 7, -8, 14, 
result : 375, 346, 311, 285, 252, 223, 188, 163, 29, 35, 26, 33, 29, 35, 25, -6, 9, -7, 4, -6, 10, 
result : 372, 351, 315, 289, 251, 227, 188, 166, 21, 36, 26, 38, 24, 39, 22, -15, 10, -12, 14, -15, 17, 
result : 376, 344, 312, 288, 251, 222, 185, 161, 32, 32, 24, 37, 29, 37, 24, 0, 8, -13, 8, -8, 13, 
result : 362, 339, 328, 277, 239, 208, 174, 149, 23, 11, 51, 38, 31, 34, 25, 12, -40, 13, 7, -3, 9, 
result : 336, 316, 279, 248, 214, 188, 149, 123, 20, 37, 31, 34, 26, 39, 26, -17, 6, -3, 8, -13, 13, 
