267, 247, 216, 190, 156, 132, 101, 82, 20, 31, 26, 34, 24, 31, 19, -11, 5, -8, 10, -7, 12, 
260, 235, 203, 178, 145, 121, 88, 70, 25, 32, 25, 33, 24, 33, 18, -7, 7, -8, 9, -9, 15, 
275, 249, 219, 194, 161, 136, 106, 87, 26, 30, 25, 33, 25, 30, 19, -4, 5, -8, 8, -5, 11, 
283, 259, 227, 207, 177, 153, 126, 106, 24, 32, 20, 30, 24, 27, 20, -8, 12, -10, 6, -3, 7, 
264, 239, 210, 183, 151, 125, 94, 75, 25, 29, 27, 32, 26, 31, 19, -4, 2, -5, 6, -5, 12, 
257, 234, 202, 179, 145, 121, 88, 69, 23, 32, 23, 34, 24, 33, 19, -9, 9, -11, 10, -9, 14, 
250, 227, 195, 172, 138, 114, 77, 62, 23, 32, 23, 34, 24, 37, 15, -9, 9, -11, 10, -13, 22, 
263, 241, 207, 184, 153, 126, 91, 75, 22, 34, 23, 31, 27, 35, 16, -12, 11, -8, 4, -8, 19, 
261, 240, 206, 181, 151, 124, 87, 72, 21, 34, 25, 30, 27, 37, 15, -13, 9, -5, 3, -10, 22, 
257, 233, 202, 174, 140, 117, 82, 66, 24, 31, 28, 34, 23, 35, 16, -7, 3, -6, 11, -12, 19, 
