433, 399, 369, 338, 304, 275, 235, 213, 34, 30, 31, 34, 29, 40, 22, 4, -1, -3, 5, -11, 18, 
434, 404, 367, 345, 307, 276, 239, 213, 30, 37, 22, 38, 31, 37, 26, -7, 15, -16, 7, -6, 11, 
451, 418, 388, 363, 321, 291, 259, 230, 33, 30, 25, 42, 30, 32, 29, 3, 5, -17, 12, -2, 3, 
401, 377, 335, 311, 270, 242, 199, 175, 24, 42, 24, 41, 28, 43, 24, -18, 18, -17, 13, -15, 19, 
404, 379, 339, 308, 270, 242, 203, 177, 25, 40, 31, 38, 28, 39, 26, -15, 9, -7, 10, -11, 13, 
404, 377, 341, 311, 273, 242, 203, 178, 27, 36, 30, 38, 31, 39, 25, -9, 6, -8, 7, -8, 14, 
417, 386, 352, 323, 285, 256, 219, 191, 31, 34, 29, 38, 29, 37, 28, -3, 5, -9, 9, -8, 9, 
393, 359, 322, 294, 252, 227, 183, 157, 34, 37, 28, 42, 25, 44, 26, -3, 9, -14, 17, -19, 18, 
387, 357, 316, 287, 251, 219, 179, 153, 30, 41, 29, 36, 32, 40, 26, -11, 12, -7, 4, -8, 14, 
375, 344, 311, 285, 239, 207, 167, 140, 31, 33, 26, 46, 32, 40, 27, -2, 7, -20, 14, -8, 13, 
