result : 484, 457, 418, 397, 353, 334, 298, 272, 27, 39, 21, 44, 19, 36, 26, -12, 18, -23, 25, -17, 10, 
result : 485, 459, 452, 402, 366, 341, 304, 282, 26, 7, 50, 36, 25, 37, 22, 19, -43, 14, 11, -12, 15, 
result : 488, 458, 418, 389, 361, 332, 299, 276, 30, 40, 29, 28, 29, 33, 23, -10, 11, 1, -1, -4, 10, 
result : 487, 458, 425, 393, 365, 335, 297, 271, 29, 33, 32, 28, 30, 38, 26, -4, 1, 4, -2, -8, 12, 
result : 481, 459, 420, 393, 357, 336, 299, 278, 22, 39, 27, 36, 21, 37, 21, -17, 12, -9, 15, -16, 16, 
result : 469, 441, 409, 381, 341, 316, 283, 257, 28, 32, 28, 40, 25, 33, 26, -4, 4, -12, 15, -8, 7, 
result : 482, 455, 418, 390, 354, 330, 292, 269, 27, 37, 28, 36, 24, 38, 23, -10, 9, -8, 12, -14, 15, 
result : 497, 472, 433, 411, 370, 344, 310, 287, 25, 39, 22, 41, 26, 34, 23, -14, 17, -19, 15, -8, 11, 
result : 488, 456, 424, 400, 363, 331, 301, 279, 32, 32, 24, 37, 32, 30, 22, 0, 8, -13, 5, 2, 8, 
result : 495, 469, 433, 410, 373, 343, 314, 291, 26, 36, 23, 37, 30, 29, 23, -10, 13, -14, 7, 1, 6, 
