result : 312, 284, 249, 221, 182, 153, 119, 95, 28, 35, 28, 39, 29, 34, 24, -7, 7, -11, 10, -5, 10, 
result : 311, 284, 248, 219, 182, 151, 116, 93, 27, 36, 29, 37, 31, 35, 23, -9, 7, -8, 6, -4, 12, 
result : 299, 271, 236, 207, 169, 140, 104, 80, 28, 35, 29, 38, 29, 36, 24, -7, 6, -9, 9, -7, 12, 
result : 301, 274, 236, 211, 172, 140, 105, 81, 27, 38, 25, 39, 32, 35, 24, -11, 13, -14, 7, -3, 11, 
result : 302, 275, 239, 206, 171, 141, 105, 82, 27, 36, 33, 35, 30, 36, 23, -9, 3, -2, 5, -6, 13, 
result : 308, 282, 245, 217, 180, 149, 114, 89, 26, 37, 28, 37, 31, 35, 25, -11, 9, -9, 6, -4, 10, 
result : 312, 288, 250, 220, 181, 152, 116, 93, 24, 38, 30, 39, 29, 36, 23, -14, 8, -9, 10, -7, 13, 
result : 318, 290, 251, 228, 189, 158, 124, 97, 28, 39, 23, 39, 31, 34, 27, -11, 16, -16, 8, -3, 7, 
result : 322, 294, 255, 229, 192, 161, 125, 99, 28, 39, 26, 37, 31, 36, 26, -11, 13, -11, 6, -5, 10, 
result : 313, 286, 250, 220, 181, 149, 114, 90, 27, 36, 30, 39, 32, 35, 24, -9, 6, -9, 7, -3, 11, 
