result : 567, 538, 534, 504, 443, 417, 386, 370, 29, 4, 30, 61, 26, 31, 16, 25, -26, -31, 35, -5, 15, 
result : 567, 536, 529, 501, 491, 414, 381, 357, 31, 7, 28, 10, 77, 33, 24, 24, -21, 18, -67, 44, 9, 
result : 561, 534, 521, 495, 485, 461, 373, 358, 27, 13, 26, 10, 24, 88, 15, 14, -13, 16, -14, -64, 73, 
result : 558, 532, 523, 496, 431, 405, 378, 351, 26, 9, 27, 65, 26, 27, 27, 17, -18, -38, 39, -1, 0, 
result : 533, 514, 500, 477, 412, 386, 350, 328, 19, 14, 23, 65, 26, 36, 22, 5, -9, -42, 39, -10, 14, 
result : 530, 504, 496, 472, 408, 380, 348, 326, 26, 8, 24, 64, 28, 32, 22, 18, -16, -40, 36, -4, 10, 
result : 532, 508, 504, 473, 410, 390, 356, 333, 24, 4, 31, 63, 20, 34, 23, 20, -27, -32, 43, -14, 11, 
result : 543, 517, 510, 480, 418, 399, 360, 339, 26, 7, 30, 62, 19, 39, 21, 19, -23, -32, 43, -20, 18, 
result : 541, 515, 507, 479, 421, 400, 359, 337, 26, 8, 28, 58, 21, 41, 22, 18, -20, -30, 37, -20, 19, 
result : 534, 513, 503, 479, 467, 387, 355, 331, 21, 10, 24, 12, 80, 32, 24, 11, -14, 12, -68, 48, 8, 
result : 527, 508, 492, 472, 403, 380, 342, 324, 19, 16, 20, 69, 23, 38, 18, 3, -4, -49, 46, -15, 20, 
result : 534, 511, 500, 444, 416, 380, 353, 326, 23, 11, 56, 28, 36, 27, 27, 12, -45, 28, -8, 9, 0, 
