380, 350, 313, 286, 245, 216, 176, 147, 30, 37, 27, 41, 29, 40, 29, -7, 10, -14, 12, -11, 11, 
392, 365, 324, 300, 261, 229, 189, 162, 27, 41, 24, 39, 32, 40, 27, -14, 17, -15, 7, -8, 13, 
381, 352, 316, 283, 246, 214, 176, 146, 29, 36, 33, 37, 32, 38, 30, -7, 3, -4, 5, -6, 8, 
376, 347, 307, 280, 241, 207, 169, 143, 29, 40, 27, 39, 34, 38, 26, -11, 13, -12, 5, -4, 12, 
374, 347, 306, 279, 239, 207, 169, 140, 27, 41, 27, 40, 32, 38, 29, -14, 14, -13, 8, -6, 9, 
363, 339, 300, 271, 229, 198, 160, 132, 24, 39, 29, 42, 31, 38, 28, -15, 10, -13, 11, -7, 10, 
379, 348, 315, 282, 243, 213, 171, 148, 31, 33, 33, 39, 30, 42, 23, -2, 0, -6, 9, -12, 19, 
379, 353, 315, 283, 246, 213, 178, 149, 26, 38, 32, 37, 33, 35, 29, -12, 6, -5, 4, -2, 6, 
414, 380, 343, 319, 279, 247, 211, 182, 34, 37, 24, 40, 32, 36, 29, -3, 13, -16, 8, -4, 7, 
423, 398, 358, 328, 290, 262, 223, 200, 25, 40, 30, 38, 28, 39, 23, -15, 10, -8, 10, -11, 16, 
