553, 528, 525, 504, 497, 474, 403, 383, 25, 3, 21, 7, 23, 71, 20, 22, -18, 14, -16, -48, 51, 
538, 519, 509, 491, 478, 458, 447, 361, 19, 10, 18, 13, 20, 11, 86, 9, -8, 5, -7, 9, -75, 
543, 521, 512, 493, 481, 460, 384, 363, 22, 9, 19, 12, 21, 76, 21, 13, -10, 7, -9, -55, 55, 
517, 499, 488, 471, 460, 394, 363, 339, 18, 11, 17, 11, 66, 31, 24, 7, -6, 6, -55, 35, 7, 
520, 501, 491, 466, 411, 384, 358, 338, 19, 10, 25, 55, 27, 26, 20, 9, -15, -30, 28, 1, 6, 
517, 497, 489, 467, 456, 436, 423, 402, 20, 8, 22, 11, 20, 13, 21, 12, -14, 11, -9, 7, -8, 
534, 509, 507, 485, 474, 403, 374, 361, 25, 2, 22, 11, 71, 29, 13, 23, -20, 11, -60, 42, 16, 
523, 500, 494, 469, 413, 394, 362, 340, 23, 6, 25, 56, 19, 32, 22, 17, -19, -31, 37, -13, 10, 
532, 511, 503, 479, 472, 447, 375, 362, 21, 8, 24, 7, 25, 72, 13, 13, -16, 17, -18, -47, 59, 
537, 513, 506, 487, 477, 456, 381, 363, 24, 7, 19, 10, 21, 75, 18, 17, -12, 9, -11, -54, 57, 
