326, 310, 297, 254, 219, 198, 167, 146, 16, 13, 43, 35, 21, 31, 21, 3, -30, 8, 14, -10, 10, 
298, 276, 245, 222, 188, 166, 133, 113, 22, 31, 23, 34, 22, 33, 20, -9, 8, -11, 12, -11, 13, 
316, 296, 262, 237, 207, 183, 153, 135, 20, 34, 25, 30, 24, 30, 18, -14, 9, -5, 6, -6, 12, 
300, 278, 246, 224, 190, 167, 137, 116, 22, 32, 22, 34, 23, 30, 21, -10, 10, -12, 11, -7, 9, 
290, 266, 233, 213, 182, 153, 127, 107, 24, 33, 20, 31, 29, 26, 20, -9, 13, -11, 2, 3, 6, 
272, 251, 219, 194, 161, 135, 103, 85, 21, 32, 25, 33, 26, 32, 18, -11, 7, -8, 7, -6, 14, 
285, 263, 232, 207, 173, 147, 118, 97, 22, 31, 25, 34, 26, 29, 21, -9, 6, -9, 8, -3, 8, 
284, 261, 228, 203, 175, 147, 114, 94, 23, 33, 25, 28, 28, 33, 20, -10, 8, -3, 0, -5, 13, 
276, 253, 221, 196, 161, 137, 104, 87, 23, 32, 25, 35, 24, 33, 17, -9, 7, -10, 11, -9, 16, 
271, 248, 215, 188, 159, 133, 102, 83, 23, 33, 27, 29, 26, 31, 19, -10, 6, -2, 3, -5, 12, 
