result : 381, 359, 350, 329, 275, 254, 224, 199, 22, 9, 21, 54, 21, 30, 25, 13, -12, -33, 33, -9, 5, 
result : 388, 362, 335, 314, 281, 262, 226, 208, 26, 27, 21, 33, 19, 36, 18, -1, 6, -12, 14, -17, 18, 
result : 386, 366, 358, 339, 325, 261, 228, 208, 20, 8, 19, 14, 64, 33, 20, 12, -11, 5, -50, 31, 13, 
result : 388, 368, 360, 335, 325, 261, 228, 209, 20, 8, 25, 10, 64, 33, 19, 12, -17, 15, -54, 31, 14, 
result : 404, 378, 350, 331, 298, 281, 246, 223, 26, 28, 19, 33, 17, 35, 23, -2, 9, -14, 16, -18, 12, 
result : 389, 369, 338, 321, 286, 260, 231, 209, 20, 31, 17, 35, 26, 29, 22, -11, 14, -18, 9, -3, 7, 
result : 391, 373, 362, 343, 328, 265, 237, 217, 18, 11, 19, 15, 63, 28, 20, 7, -8, 4, -48, 35, 8, 
result : 387, 364, 335, 312, 285, 258, 228, 209, 23, 29, 23, 27, 27, 30, 19, -6, 6, -4, 0, -3, 11, 
result : 405, 388, 377, 359, 344, 280, 250, 231, 17, 11, 18, 15, 64, 30, 19, 6, -7, 3, -49, 34, 11, 
result : 395, 374, 367, 343, 334, 312, 243, 222, 21, 7, 24, 9, 22, 69, 21, 14, -17, 15, -13, -47, 48, 
